mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
6.682321230570476,0.017659407176346033,0.3516252040863037,0.005827630368684638,0.9,300,1,5,0.1,0.5,0.8,"{'subsample': 0.9, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0.5, 'colsample_bytree': 0.8}",0.9402344867028882,0.930225948557624,0.9253521126760563,0.9319375159788561,0.006195071236969908,15,0.9585588151523783,0.9491429380932144,0.9520383693045563,0.9532467075167164,0.003937829023251843
8.191443602244059,0.16616996349603944,0.5355954964955648,0.011453289938852943,0.7,300,3,7,0.2,0.0,0.7,"{'subsample': 0.7, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 7, 'learning_rate': 0.2, 'gamma': 0, 'colsample_bytree': 0.7}",0.9582366589327146,0.9533843267426757,0.9540379875308105,0.9552196577354003,0.00214996748423991,2,0.9972992181947405,0.9969475402853695,0.9963073427070018,0.9968513670623707,0.00041060216951100694
3.0712401072184243,0.14196721093654716,0.17273028691609701,0.001806752670678477,0.9,100,10,5,0.1,0.1,0.8,"{'subsample': 0.9, 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.8}",0.8408851422550052,0.8076923076923077,0.8024028629856851,0.8169934376443327,0.01703143599795837,35,0.854327845004298,0.8244950304584803,0.8264811031664965,0.8351013262097583,0.013619358524247147
4.065364122390747,0.03285556463720723,0.36401597658793133,0.006641891953128077,0.9,100,7,10,0.2,0.1,1.0,"{'subsample': 0.9, 'n_estimators': 100, 'min_child_weight': 7, 'max_depth': 10, 'learning_rate': 0.2, 'gamma': 0.1, 'colsample_bytree': 1.0}",0.9513699612681108,0.9471428571428572,0.9430569430569431,0.9471899204893037,0.0033939386326936353,8,0.990427568602425,0.988878656938443,0.9881070366699702,0.9891377540702795,0.0009649060766658129
5.925488233566284,0.0771011328568253,0.4107534885406494,0.017398186479327154,1.0,200,5,7,0.05,0.1,0.8,"{'subsample': 1.0, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 7, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.8}",0.9134977016297534,0.8963044677330392,0.889865421587476,0.8998891969834228,0.00997526533809414,20,0.9344650062613051,0.9183631503187333,0.9211521275864439,0.9246600947221607,0.0070259906190176585
4.879881143569946,0.04121981945851515,0.36495598157246906,0.028967788765760227,0.7,100,5,10,0.05,0.0,1.0,"{'subsample': 0.7, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 10, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 1.0}",0.9170500487940889,0.9027892847279757,0.8872159868601149,0.9023517734607265,0.012183633145926444,19,0.9414871438498957,0.9381557150745444,0.9329402084476138,0.937527689124018,0.0035174174843290848
4.001140356063843,0.026874712885985353,0.16518743832906088,0.013588417502871859,0.7,200,1,3,0.2,0.5,0.9,"{'subsample': 0.7, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.2, 'gamma': 0.5, 'colsample_bytree': 0.9}",0.8987517337031901,0.8835550678919215,0.8735601029949858,0.8852889681966992,0.010357263864387359,24,0.9107142857142857,0.8913990201415352,0.8948484641171239,0.8989872566576483,0.008410987805903871
10.001556793848673,0.022372399269633986,0.8932329813639323,0.0377425693308761,0.9,300,5,10,0.2,0.1,0.8,"{'subsample': 0.9, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 10, 'learning_rate': 0.2, 'gamma': 0.1, 'colsample_bytree': 0.8}",0.9618853651440209,0.9593754517854561,0.954064628314737,0.9584418150814047,0.0032603414197077854,1,0.9994313335228888,0.9995024521998721,0.9992183614012649,0.999384049041342,0.00012070283650269719
2.6400752862294516,0.06209546015630793,0.13922246297200522,0.0025261846211848795,0.8,100,5,3,0.1,0.3,0.8,"{'subsample': 0.8, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0.3, 'colsample_bytree': 0.8}",0.7072014795977344,0.6816214985196993,0.6789734353894642,0.689265471168966,0.012728664720571081,42,0.7092733283071392,0.6836959593105397,0.685349454771456,0.6927729141297116,0.011687065865870882
10.477972825368246,0.10802436302445984,0.954150915145874,0.009645294054550776,0.9,300,7,10,0.05,0.0,0.7,"{'subsample': 0.9, 'n_estimators': 300, 'min_child_weight': 7, 'max_depth': 10, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.7}",0.954479976951887,0.946825283072954,0.9429962761386422,0.9481005120544944,0.004774131879797641,5,0.9846547314578005,0.9842284739982949,0.9833297864793927,0.9840709973118295,0.000552249327168505
3.555119196573893,0.040478586779355244,0.1864302158355713,0.0015248584687968143,0.9,100,5,5,0.01,0.3,1.0,"{'subsample': 0.9, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.01, 'gamma': 0.3, 'colsample_bytree': 1.0}",0.6161900926298832,0.5879513225384693,0.5762276454895762,0.5934563535526429,0.016772563314546747,46,0.6227483798540593,0.5858987090367428,0.5875773323434793,0.5987414737447604,0.016989273081506395
